"ra","dec","magnitude","class","z","x","y"
"162.97679","29.077483","21.66026","GALAXY","0.9649356","-46.99643","148.0547"
"162.99172","29.377638","21.6604","QSO","1.295826","-44.04831","213.4924"
"163.46031","27.738033","21.66358","GALAXY","0.346276","45.56741","-143.5454"
"164.01992","28.544908","21.66421","STAR","-0.003126888","152.2377","32.56101"
"164.35912","28.674208","21.67079","GALAXY","0.903683","216.9441","61.25973"
"162.27069","27.373528","21.673","GALAXY","0.7308362","-184.4738","-222.4827"
"164.1859","28.358922","21.67392","QSO","0.861561","184.3447","-7.699546"
"163.24571","27.582946","21.68188","GALAXY","0.9664946","4.228162","-177.3903"
"162.05396","29.068054","21.68293","GALAXY","0.790531","-222.7782","147.1756"
"163.22155","29.331604","21.68401","GALAXY","0.4233291","-0.4286273","203.4026"
"163.52127","29.24","21.69544","GALAXY","0.7858508","56.52183","183.5072"
"163.15823","28.798474","21.69922","GALAXY","0.8106081","-12.50094","87.20566"
"163.29423","27.392059","21.69951","GALAXY","0.8287571","13.61999","-219.0138"
"163.53798","27.789075","21.70232","GALAXY","1.130293","60.50026","-132.394"
"163.54878","28.389043","21.70281","GALAXY","0.83641","62.17519","-1.785966"
"162.09173","28.240088","21.70746","GALAXY","0.7005579","-217.206","-33.2863"
"164.28887","28.258854","21.70811","GALAXY","0.9704407","204.2971","-29.32896"
"162.9316","28.958951","21.71178","GALAXY","0.8257349","-55.64571","122.2442"
"164.05637","27.333162","21.71203","QSO","0.597831","161.1854","-231.4376"
"162.73825","28.239305","21.71236","GALAXY","0.6743234","-93.06324","-34.2562"
"164.771","28.801069","21.71255","GALAXY","0.8350483","295.6118","89.86653"
"162.00593","27.661322","21.71357","GALAXY","0.8312679","-235.0746","-159.2828"
"162.3226","28.006445","21.71766","GALAXY","0.8074486","-173.2589","-84.53502"
"163.75028","28.827633","21.71818","GALAXY","0.8599092","100.3868","93.81203"
"161.90534","28.33144","21.71971","QSO","1.081835","-252.8106","-13.02792"
"163.85693","29.685515","21.72216","GALAXY","1.126277","119.9274","281.1171"
"162.91704","28.39183","21.72454","GALAXY","0.7685342","-58.6881","-1.184503"
"161.63947","28.685078","21.72539","GALAXY","0.9943521","-303.0481","64.6903"
"162.49405","29.403702","21.72629","GALAXY","0.7958393","-138.5097","219.6232"
"163.06374","28.129831","21.72734","GALAXY","0.8258415","-30.69982","-58.22412"
"162.15056","27.676276","21.72991","GALAXY","1.037119","-207.0644","-156.2385"
"161.78283","28.293667","21.73518","QSO","2.94229","-276.4747","-20.99314"
"162.88779","29.167082","21.73924","GALAXY","0.9633326","-63.88688","167.6366"
"163.13142","29.406026","21.73952","GALAXY","0.898855","-17.52983","219.6415"
"162.84376","27.124364","21.74857","GALAXY","0.6458237","-73.72121","-277.3915"
"163.8601","28.016182","21.74996","GALAXY","0.8026687","122.2736","-82.7181"
"164.55964","29.04941","21.75022","GALAXY","0.9186441","254.5295","143.4813"
"162.60858","28.856692","21.75093","GALAXY","0.8390323","-117.2971","100.2425"
"163.26343","27.317541","21.76074","GALAXY","0.927568","7.669969","-235.2712"
"163.71988","28.421482","21.76518","GALAXY","0.7936909","94.91238","5.381335"
"163.05704","27.840174","21.76578","GALAXY","0.04288251","-32.09105","-121.298"
"162.21494","28.347418","21.76984","QSO","6.56273","-193.3389","-10.11815"
"164.56412","28.495373","21.77069","GALAXY","0.8192128","256.6146","22.71493"
"164.49474","28.393236","21.77325","GALAXY","0.8926063","243.537","0.3188154"
"163.54242","28.576367","21.77339","GALAXY","0.7999915","60.85604","38.95568"
"164.11973","29.388252","21.77584","QSO","1.343403","170.1055","216.5013"
"161.96987","27.532028","21.77755","GALAXY","0.9441528","-242.4316","-187.4745"
"162.46667","29.248518","21.77759","GALAXY","1.272528","-143.8936","185.8075"
"163.6865","28.555868","21.77862","GALAXY","0.7988847","88.4132","34.59332"
"161.89418","28.467036","21.77984","GALAXY","1.195581","-254.6292","16.53678"
"162.75297","29.219055","21.78202","GALAXY","0.9389241","-89.48826","179.0674"
"164.2511","27.300823","21.78263","GALAXY","0.873603","199.0588","-238.3376"
"163.96975","28.166597","21.78268","GALAXY","0.8768334","143.1482","-49.85727"
"164.45286","28.697571","21.78368","GALAXY","0.8503561","234.8345","66.53289"
"164.413","27.631755","21.78464","GALAXY","0.8248688","229.6013","-165.7966"
"164.32824","29.328443","21.7864","GALAXY","0.8297393","209.8744","203.8561"
"162.84025","29.003428","21.78916","GALAXY","0.8239617","-73.02272","131.9967"
"163.06847","27.968895","21.79047","GALAXY","0.7113181","-29.84689","-93.25866"
"162.47665","28.509633","21.79465","GALAXY","0.9574303","-142.9085","24.82973"
"162.96955","29.505853","21.7976","GALAXY","0.9033144","-48.2051","241.4737"
"164.29272","27.786464","21.79808","GALAXY","0.8456789","205.9944","-132.237"
"163.64725","29.082178","21.79911","GALAXY","0.8484883","80.56866","149.185"
"163.84101","28.661349","21.80032","GALAXY","0.9718881","117.8661","57.69637"
"163.01466","29.658493","21.80216","GALAXY","0.7825029","-39.60686","274.802"
"162.86849","28.661259","21.80227","QSO","1.125489","-67.82296","57.45456"
"163.05107","27.290504","21.80671","GALAXY","0.9473626","-33.43908","-241.1509"
"162.7429","27.893776","21.80979","GALAXY","1.023161","-92.51394","-109.4894"
"162.5147","27.069765","21.81058","QSO","1.431369","-137.7275","-289.2281"
